ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
22021,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum)",Blogs;Stack Overflow;Online books;How-to videos,,20,14,"Developer, full-stack",100 to 499 employees,I have little or no influence,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Saudi Arabia,SAR	Saudi Arabian riyal,37575.0,Monthly,C#;TypeScript,Clojure;Elixir;Erlang;F#;Go;Haskell;Rust;Scala,Microsoft SQL Server,Elasticsearch;Redis,Heroku;Microsoft Azure,Heroku;Microsoft Azure,Angular.js;ASP.NET;ASP.NET Core ;React.js;Ruby on Rails,ASP.NET Core ;Next.js;Node.js;React.js;Svelte,.NET,Apache Kafka;React Native;Torch/PyTorch,,,RubyMine;Vim;Visual Studio Code,Vim;Visual Studio Code,Windows,Windows;Windows Subsystem for Linux (WSL),Git,Code editor;Command-line,,,,,Microsoft Teams,Google Chat;Slack,Favorable,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",35-44 years old,Man,No,,South Asian,,,Yes,Independent contributor,16.0,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,1-2 times a week,1-2 times a week,1-2 times a week,15-30 minutes a day,Less than 15 minutes a day,Just right,Continuous integration (CI) and (more often) continuous delivery,No,Yes,No,Too long,Easy,120252.0
23351,I am a developer by profession,"Student, full-time;Not employed, but looking for work",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp;Other (please specify):",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;Online forum;How-to videos;Interactive tutorial;Coding sessions (live or recorded),Other,6,,"Developer, full-stack;Student",,,,Saudi Arabia,,,,HTML/CSS;JavaScript;PowerShell,Bash/Shell;HTML/CSS;JavaScript;Rust;Solidity,MongoDB,MongoDB,AWS;Oracle Cloud Infrastructure,AWS;Google Cloud;Microsoft Azure,ASP.NET;Express;Node.js;React.js,Deno;Express;Node.js;React.js,,,npm,npm,NetBeans;Vim;Visual Studio;Visual Studio Code,Vim;Visual Studio Code,Windows,Windows;Windows Subsystem for Linux (WSL),Git,Code editor;Command-line,,,,,Microsoft Teams,,Very favorable,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",18-24 years old,Man,"Or, in your own words:",Prefer to self-describe:,"Or, in your own words:",None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Too short,Easy,
23880,I am learning to code,"Student, full-time",,,Primary/elementary school,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Online books;Video-based Online Courses;How-to videos;Written-based Online Courses,Coursera;Udemy;Codecademy;edX;Udacity,4,,,,,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Saudi Arabia,,,,C;C++;HTML/CSS;JavaScript;Python;Rust,Dart;Go;HTML/CSS;JavaScript;Python;Rust;Solidity,,,,,React.js,Django;Next.js;Node.js;React.js;Svelte,NumPy;Pandas;TensorFlow;Torch/PyTorch,Electron;Flutter;GTK;NumPy;Pandas;Qt;React Native;TensorFlow;Torch/PyTorch,Docker;Kubernetes;npm,Docker;Flow;Kubernetes;npm;Yarn,Atom;Eclipse;IntelliJ;IPython/Jupyter;Notepad++;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code,IPython/Jupyter;Neovim;Sublime Text;Visual Studio Code,,Linux-based;Windows;Windows Subsystem for Linux (WSL),Git,Code editor,,,,,Zoom,,Favorable,Stack Overflow;Stack Exchange,A few times per week,Not sure/can't remember,,"No, not really",18-24 years old,Man,No,Straight / Heterosexual,North American;Middle Eastern;Asian;East Asian;Southeast Asian;Multiracial,I am blind / have difficulty seeing,"Or, in your own words:",,,,,,,,,,,,,,,,,,,,,Too short,Easy,
24294,I am a developer by profession,"Employed, full-time",Full in-person,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Online Courses or Certification;Coding Bootcamp;Colleague,,Coursera;Udemy;edX,8,2,"Developer, full-stack",20 to 99 employees,I have some influence,Start a free trial;Ask developers I know/work with,Saudi Arabia,SAR	Saudi Arabian riyal,,Monthly,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;SQL,MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle,MariaDB;Microsoft SQL Server;MongoDB;MySQL,DigitalOcean;Firebase,DigitalOcean;Firebase,jQuery;Laravel;Node.js;React.js;Vue.js,jQuery;Laravel;Node.js;React.js;Vue.js,Apache Kafka;Apache Spark,Apache Kafka;Apache Spark,npm;Yarn,npm;Yarn,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Linux-based;Windows,Linux-based;Windows,Git,Command-line;Version control hosting service web GUI,,,Jira Work Management,Jira Work Management,Slack;Zoom,Slack;Zoom,Unsure,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,Asian,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
24476,I code primarily as a hobby,I prefer not to say,,,,Friend or family member,,,2,,,,,Other (please specify):,Saudi Arabia,,,,Python,Bash/Shell;C;C++;HTML/CSS;JavaScript,,,VMware,,,,,,Unity 3D,Unity 3D,,,,Other (please specify):,I don't use one,,,,Trello,,,,Unsure,Stack Overflow,Less than once per month or monthly,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Under 18 years old,Man,"Or, in your own words:",Prefer to self-describe:,"Or, in your own words:;Middle Eastern",None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,
24672,I code primarily as a hobby,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification;Coding Bootcamp;Hackathons (virtual or in-person)","Technical documentation;Blogs;Programming Games;Written Tutorials;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Auditory material (e.g., podcasts);Interactive tutorial;Certification videos",Udemy;Codecademy,20,,"Developer, full-stack;Developer, mobile",,,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Saudi Arabia,,,,Delphi,Delphi,Microsoft SQL Server;MySQL;Oracle;SQLite,Microsoft SQL Server;MySQL;Oracle;SQLite,Firebase;Google Cloud;Managed Hosting;Microsoft Azure;VMware,Firebase;Google Cloud;Managed Hosting;Microsoft Azure;VMware,jQuery,jQuery,,,,,"Android Studio;Notepad++;RAD Studio (Delphi, C++ Builder);Visual Studio Code;Xcode","Android Studio;Notepad++;RAD Studio (Delphi, C++ Builder);Visual Studio Code;Xcode",Linux-based;macOS;Windows,Linux-based;macOS;Windows,Git;SVN,Dedicated version control GUI application,,,Adobe Workfront;Jira Work Management;Swit;Trello,Adobe Workfront;Jira Work Management;Swit;Trello,Cisco Webex Teams;Microsoft Teams;Zoom,Cisco Webex Teams;Microsoft Teams;Zoom,Very favorable,Stack Overflow,A few times per week,Not sure/can't remember,,Neutral,45-54 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,
25641,"I am not primarily a developer, but I write code sometimes as part of my work","Student, full-time",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;How-to videos;Written-based Online Courses,,12,,,,,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Saudi Arabia,,,,Assembly;Bash/Shell;HTML/CSS;Java;JavaScript;Python,Python;Rust,MongoDB;MySQL;SQLite,,Google Cloud,Google Cloud;Microsoft Azure,Django;Express;Node.js;React.js,,GTK;Keras;NumPy;Pandas;TensorFlow,,Docker;Kubernetes;npm,Kubernetes,Visual Studio Code,Visual Studio Code,Linux-based,Linux-based,Git,Code editor;Command-line,,,,,Microsoft Teams,Microsoft Teams,Favorable,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
25921,I code primarily as a hobby,"Not employed, and not looking for work",,,Something else,"Other online resources (e.g., videos, blogs, forum);Online Courses or Certification;Coding Bootcamp",Technical documentation;Stack Overflow;Online forum;How-to videos;Coding sessions (live or recorded),Udemy;Pluralsight,5,,,,,Visit developer communities like Stack Overflow,Saudi Arabia,,,,C#;HTML/CSS;JavaScript;Lua;PHP;Python;SQL,Python;SQL,MySQL,,AWS,AWS,Django;Flask;jQuery;Node.js;React.js,Django;Flask,NumPy;Pandas,NumPy;Pandas;Scikit-learn;TensorFlow,npm;Unity 3D,,IPython/Jupyter;Notepad++;PhpStorm;PyCharm;Sublime Text;Visual Studio Code,IPython/Jupyter;PyCharm;Visual Studio Code,,Windows,I don't use one,,,,,,Microsoft Teams;Zoom,Zoom,Very favorable,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,Under 18 years old,Man,No,Straight / Heterosexual,I don't know,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Too long,Easy,
25954,"I am not primarily a developer, but I write code sometimes as part of my work","Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos",Coursera;Udemy;Pluralsight,12,9,"Developer, desktop or enterprise applications;Developer, mobile","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Saudi Arabia,SAR	Saudi Arabian riyal,5000.0,Monthly,C#;SQL,C#;SQL,Microsoft SQL Server,Microsoft SQL Server;MongoDB,Microsoft Azure,,,,.NET;Xamarin,.NET;Xamarin,,,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Windows,Git,Code editor,,,,,Zoom,,Unsure,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,15996.0
25962,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague",Technical documentation;Stack Overflow;Video-based Online Courses;Written-based Online Courses,Coursera;Udemy,4,1,"Developer, full-stack","1,000 to 4,999 employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Saudi Arabia,SAR	Saudi Arabian riyal,14500.0,Monthly,HTML/CSS;Java;PHP;Python;TypeScript,HTML/CSS;Python;TypeScript,,,Heroku;Linode;VMware,Heroku;Linode,Angular;Django;Laravel,Django;FastAPI;Flask,,,Homebrew;npm,Docker;Homebrew;npm,IntelliJ;Neovim;PhpStorm;PyCharm;Vim;Visual Studio Code,IntelliJ;Neovim;PyCharm;Vim,Windows,Linux-based;macOS;Windows,Git,Code editor;Command-line,,,Jira Work Management;Notion;Trello,Notion,Microsoft Teams,Microsoft Teams,Favorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,Neutral,18-24 years old,Man,No,Straight / Heterosexual,"Or, in your own words:;Middle Eastern",None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,46404.0
26204,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects;Bootstrapping a business,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Coding Bootcamp","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);How-to videos;Written-based Online Courses;Interactive tutorial",Udemy;Codecademy;Udacity,10,5,"Developer, back-end",100 to 499 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Saudi Arabia,SAR	Saudi Arabian riyal,294000.0,Yearly,Python;Ruby,Go;JavaScript;Ruby,MySQL,Elasticsearch;MySQL;PostgreSQL;Redis,AWS,AWS;Firebase;Google Cloud,Flask;React.js;Ruby on Rails,ASP.NET Core ;Django;React.js;Ruby on Rails,React Native,Flutter;React Native;TensorFlow,Docker;Homebrew,Ansible;Docker;Homebrew;Kubernetes,Emacs;Nano;Neovim;RubyMine;Vim;Visual Studio Code,Neovim;Vim;Visual Studio Code,Linux-based;macOS,Linux-based;macOS,Git,Command-line,,,Confluence;Jira Work Management;Notion;Trello,Asana;Jira Work Management;monday.com;Notion,Microsoft Teams;Slack;Zoom,Slack,Favorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Yes,Independent contributor,5.0,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,Somewhat long,Innersource initiative;DevOps function;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing,Yes,Yes,Yes,Too long,Neither easy nor difficult,78405.0
26448,I am a developer by profession,"Employed, full-time",Full in-person,Hobby;Contribute to open-source projects;Freelance/contract work;School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Stack Overflow;Online books;How-to videos;Coding sessions (live or recorded),Udemy,9,5,"Developer, back-end;DevOps specialist",2 to 9 employees,I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Saudi Arabia,SAR	Saudi Arabian riyal,,,Dart;HTML/CSS;Java;JavaScript;TypeScript,Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Cloud Firestore;MongoDB;MySQL;PostgreSQL;Firebase Realtime Database;Redis,Cloud Firestore;Elasticsearch;MongoDB;Neo4j;PostgreSQL;Firebase Realtime Database;Redis;SQLite,DigitalOcean;Firebase;Heroku,AWS;DigitalOcean;Firebase;Google Cloud,Express;Fastify;Node.js,Fastify;Next.js;Node.js;Svelte,,,Docker;npm,Docker;Kubernetes;npm,Android Studio;Nano;Visual Studio Code,Nano;Neovim;Visual Studio Code,Linux-based;Windows;Windows Subsystem for Linux (WSL),Windows,Git,Code editor;Command-line,,,Notion;Trello,Asana;Jira Work Management;Notion,Slack,Slack,Unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",18-24 years old,Man,No,Straight / Heterosexual,Middle Eastern;African;North African,None of the above,None of the above,Yes,Independent contributor,5.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Never,Never,Never,Over 120 minutes a day,15-30 minutes a day,Somewhat short,None of these,,,No,Appropriate in length,Neither easy nor difficult,
26752,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Bootstrapping a business,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;How-to videos,Udemy;Pluralsight,15,11,"Developer, front-end;Developer, full-stack;Developer, back-end","1,000 to 4,999 employees",I have little or no influence,,Saudi Arabia,SAR	Saudi Arabian riyal,20000.0,Monthly,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;Redis,Microsoft SQL Server;Redis,,,Angular;ASP.NET;ASP.NET Core ;React.js,Angular;ASP.NET;ASP.NET Core ;React.js,.NET,.NET,npm,npm,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Windows,Git,Code editor;Version control hosting service web GUI;Dedicated version control GUI application,,,Jira Work Management,Jira Work Management,Microsoft Teams,Microsoft Teams,Indifferent,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,I have an anxiety disorder,Yes,Independent contributor,11.0,Disagree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Never,Never,Never,30-60 minutes a day,15-30 minutes a day,Somewhat long,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Automated testing,No,No,No,Appropriate in length,Easy,64008.0
28064,I am learning to code,"Student, full-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Books / Physical media;Online Courses or Certification,,Udemy;Other,Less than 1 year,,,,,Start a free trial,Saudi Arabia,,,,HTML/CSS;Python;SQL,JavaScript;Python;Rust;Solidity,MySQL,MongoDB;MySQL,AWS;Microsoft Azure,Colocation,jQuery,Django;Node.js;React.js,NumPy;Pandas,NumPy;Pandas,,,IPython/Jupyter;PyCharm,IPython/Jupyter;PyCharm,Linux-based;macOS,macOS,Git,Command-line,,,,,Zoom,Zoom,Very favorable,,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely",18-24 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Too short,Neither easy nor difficult,
28231,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Contribute to open-source projects;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum)",Technical documentation;Blogs;Written Tutorials;Stack Overflow,,22,18,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile;Database administrator;Cloud infrastructure engineer;Product manager",2 to 9 employees,I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Saudi Arabia,SAR	Saudi Arabian riyal,35000.0,Monthly,C#;TypeScript,C#;Dart;TypeScript,Microsoft SQL Server;SQLite,Microsoft SQL Server;SQLite,Microsoft Azure,Microsoft Azure,ASP.NET Core ;React.js,ASP.NET Core ;React.js,.NET;Xamarin,.NET;Flutter,npm;Yarn,npm,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Linux-based;Windows;Windows Subsystem for Linux (WSL),Linux-based;Windows;Windows Subsystem for Linux (WSL),Git,Command-line,,,,,,,Very unfavorable,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Yes,Independent contributor,15.0,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Never,Never,Never,15-30 minutes a day,Over 120 minutes a day,Just right,Continuous integration (CI) and (more often) continuous delivery;Automated testing,Yes,No,Yes,Appropriate in length,Easy,112008.0
29090,I am learning to code,"Student, full-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp",Programming Games;How-to videos,Coursera;Codecademy,Less than 1 year,,,,,Start a free trial,Saudi Arabia,,,,C++;HTML/CSS;Java;JavaScript;PowerShell;Python,C++;HTML/CSS;Java;JavaScript;PowerShell;Python;TypeScript,,,,,,,,,Unity 3D;Unreal Engine;Yarn,Unity 3D;Unreal Engine;Yarn,Notepad++,Visual Studio;Visual Studio Code;Webstorm;Xcode,Windows,Windows,I don't use one,,,,Asana;ClickUp;Trello,,Google Chat;Microsoft Teams;Slack;Zoom,,Very favorable,I have never visited Stack Overflow or the Stack Exchange network,,Yes,I have never participated in Q&A on Stack Overflow,Neutral,18-24 years old,Woman,No,Straight / Heterosexual,White;Middle Eastern,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
29321,I am a developer by profession,"Employed, full-time",Full in-person,Hobby;Contribute to open-source projects;Bootstrapping a business;School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;School (i.e., University, College, etc);On the job training;Online Courses or Certification;Coding Bootcamp",,Udemy;Udacity,9,4,"Data scientist or machine learning specialist;Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Developer, embedded applications or devices;Data or business analyst",,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd;Research companies that have emailed me,Saudi Arabia,SAR	Saudi Arabian riyal,,Monthly,C#;HTML/CSS;JavaScript;SQL,,MongoDB;MySQL;SQLite,,Microsoft Azure,,ASP.NET;ASP.NET Core ;Blazor;jQuery;React.js,,.NET;Electron;Xamarin,,Homebrew,Docker;Kubernetes,Android Studio;Visual Studio;Visual Studio Code;Xcode,,macOS;Windows,macOS;Windows,Git,Code editor;Version control hosting service web GUI;Dedicated version control GUI application,,,,,Cisco Webex Teams,,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Yes,Independent contributor,4.0,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,6-10 times a week,1-2 times a week,1-2 times a week,15-30 minutes a day,Less than 15 minutes a day,Somewhat long,,No,No,No,Appropriate in length,Easy,
30621,I code primarily as a hobby,"Not employed, but looking for work",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);Online Courses or Certification;Coding Bootcamp","Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);How-to videos;Written-based Online Courses",Udemy,10,,Other (please specify):,,,Start a free trial,Saudi Arabia,,,,Go;HTML/CSS;JavaScript;MATLAB;Python,Dart;Elixir;Erlang;Haskell;Kotlin;SQL;TypeScript,MongoDB,MySQL;PostgreSQL,AWS;DigitalOcean;Heroku,,Express;Node.js;React.js,Angular;Phoenix;Vue.js,,,Homebrew;npm,Ansible;Docker;Kubernetes;Puppet;Terraform,Visual Studio Code,,,macOS,Git,Command-line,,,,,Cisco Webex Teams;Zoom,,Unsure,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
30685,I am learning to code,"Employed, full-time",Full in-person,Hobby;Other (please specify):,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;How-to videos;Auditory material (e.g., podcasts)",Udemy,5,,Other (please specify):,,,Start a free trial,Saudi Arabia,,,,C#;HTML/CSS;JavaScript,C#;HTML/CSS;JavaScript,Microsoft SQL Server,Microsoft SQL Server,AWS,AWS,ASP.NET Core ,ASP.NET Core ,.NET,.NET,npm,npm,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Windows,Git,Dedicated version control GUI application,,,,,,,Indifferent,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,Neutral,45-54 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
